"model_name","user_id","first_bid_date","next_bid_date","first_bid_price","next_bid_price"
"Lexus RX",80139,"2021-09-15","2023-03-27",290000000,1940000000
"Lexus RX",80136,"2021-01-12","2021-03-12",1320000000,1670000000
"Lexus RX",80038,"2021-08-24","2024-10-02",1840000000,1420000000
"Lexus RX",80079,"2021-03-09","2022-04-15",1950000000,1230000000
"Lexus RX",80166,"2021-02-20","2023-12-09",1990000000,1160000000
"Lexus RX",80143,"2021-03-02","2022-05-06",1940000000,1140000000
"Lexus RX",80090,"2021-02-28","2023-04-09",400000000,1130000000
"Lexus RX",80164,"2021-10-27","2022-04-28",1440000000,1080000000
"Lexus RX",80030,"2021-03-04","2021-08-18",1660000000,1010000000
"Lexus RX",80158,"2024-08-22","2024-09-22",1520000000,940000000
"Lexus RX",80067,"2021-01-11","2021-03-25",1150000000,790000000
"Lexus RX",80083,"2021-08-27","2023-06-14",100000000,690000000
"Lexus RX",80174,"2021-01-09","2023-03-21",600000000,430000000
"Lexus RX",80006,"2022-03-24","2023-05-03",1940000000,330000000
"Lexus RX",80026,"2021-11-09","2023-03-17",270000000,190000000
"Lexus RX",80025,"2021-03-22","2021-08-24",1290000000,150000000
"Lexus RX",80074,"2021-03-25",NULL,650000000,0
"Lexus RX",80010,"2021-03-26",NULL,300000000,0
"Lexus RX",80156,"2021-03-29",NULL,680000000,0
"Lexus RX",80053,"2021-03-30",NULL,1880000000,0
"Lexus RX",80049,"2021-08-26",NULL,530000000,0
"Lexus RX",80115,"2021-09-11",NULL,1290000000,0
"Lexus RX",80071,"2021-09-12",NULL,1550000000,0
"Lexus RX",80134,"2021-09-20",NULL,310000000,0
"Lexus RX",80111,"2021-09-21",NULL,930000000,0
"Lexus RX",80137,"2021-09-23",NULL,170000000,0
"Lexus RX",80132,"2021-09-27",NULL,1620000000,0
"Lexus RX",80190,"2021-10-09",NULL,1200000000,0
"Lexus RX",80140,"2021-10-20",NULL,690000000,0
"Lexus RX",80028,"2021-10-29",NULL,1280000000,0
"Lexus RX",80003,"2021-11-11",NULL,650000000,0
"Lexus RX",80031,"2022-04-10",NULL,430000000,0
"Lexus RX",80107,"2022-04-11",NULL,1070000000,0
"Lexus RX",80199,"2022-04-11",NULL,780000000,0
"Lexus RX",80097,"2022-05-08",NULL,1080000000,0
"Lexus RX",80123,"2022-05-15",NULL,1680000000,0
"Lexus RX",80120,"2022-05-24",NULL,1620000000,0
"Lexus RX",80104,"2022-06-06",NULL,1340000000,0
"Lexus RX",80116,"2022-06-08",NULL,1520000000,0
"Lexus RX",80084,"2022-06-10",NULL,1590000000,0
"Lexus RX",80181,"2023-03-30",NULL,860000000,0
"Lexus RX",80082,"2023-04-03",NULL,1480000000,0
"Lexus RX",80004,"2023-04-06",NULL,770000000,0
"Lexus RX",80179,"2023-04-26",NULL,620000000,0
"Lexus RX",80085,"2023-06-16",NULL,990000000,0
"Lexus RX",80129,"2023-10-01",NULL,130000000,0
"Lexus RX",80035,"2023-10-05",NULL,1760000000,0
"Lexus RX",80095,"2023-10-09",NULL,1100000000,0
"Lexus RX",80122,"2023-11-01",NULL,1560000000,0
"Lexus RX",80119,"2023-12-05",NULL,410000000,0
"Lexus RX",80005,"2023-12-06",NULL,1360000000,0
"Lexus RX",80092,"2023-12-06",NULL,340000000,0
"Lexus RX",80159,"2023-12-08",NULL,1040000000,0
"Lexus RX",80077,"2024-07-28",NULL,990000000,0
"Lexus RX",80106,"2024-08-03",NULL,1170000000,0
"Lexus RX",80093,"2024-08-05",NULL,1310000000,0
"Lexus RX",80066,"2024-08-21",NULL,970000000,0
"Lexus RX",80157,"2024-09-07",NULL,710000000,0
"Lexus RX",80089,"2024-09-09",NULL,1470000000,0
"Lexus RX",80080,"2024-09-17",NULL,700000000,0
"Lexus RX",80110,"2024-09-21",NULL,1640000000,0
"Lexus RX",80160,"2024-09-26",NULL,1490000000,0
"Lexus RX",80027,"2024-10-21",NULL,400000000,0
"Lexus RX",80081,"2021-01-15",NULL,1140000000,0
"Lexus RX",80100,"2021-01-17",NULL,1580000000,0
"Lexus RX",80163,"2021-01-18",NULL,1970000000,0
"Lexus RX",80088,"2021-01-23",NULL,490000000,0
"Lexus RX",80182,"2021-01-24",NULL,520000000,0
"Lexus RX",80052,"2021-01-30",NULL,940000000,0
"Lexus RX",80015,"2021-02-01",NULL,1560000000,0
"Lexus RX",80128,"2021-02-14",NULL,280000000,0
"Lexus RX",80195,"2021-02-15",NULL,1700000000,0
"Lexus RX",80117,"2021-02-18",NULL,310000000,0
"Lexus RX",80177,"2021-02-20",NULL,730000000,0
"Lexus RX",80063,"2021-03-06",NULL,1730000000,0
"Lexus RX",80198,"2021-03-07",NULL,1160000000,0
"Lexus RX",80002,"2021-03-08",NULL,1040000000,0
"Lexus RX",80103,"2021-03-17",NULL,100000000,0
