model_id,model_name,transmission_id,body_id,brand_id,date_created
11024,Chevrolet Equinox,30001,40005,50011,2018-12-05
11007,Audi A4,30002,40002,50007,2021-03-18
11037,Volkswagen Passat,30002,40004,50003,2021-03-18
11014,Jeep Grand Cherokee,30002,40004,50013,2021-08-19
11006,Mercedes-Benz C-Class,30002,40005,50012,2022-03-04
11017,Chevrolet Tahoe,30001,40004,50011,2022-06-17
11021,Toyota RAV4,30001,40004,50004,2022-09-12
11027,Jeep Wrangler,30001,40002,50013,2022-09-15
11020,Honda CR-V,30001,40002,50001,2022-09-16
11004,Chevrolet Silverado,30001,40002,50011,2022-12-13
11036,Nissan Sentra,30002,40002,50016,2023-04-17
11009,Honda Accord,30002,40001,50001,2023-04-17
11016,Ford Mustang,30001,40002,50002,2023-07-02
11015,Mazda CX-5,30002,40002,50008,2023-07-02
11039,Toyota Yaris,30001,40004,50004,2023-07-27
11001,Toyota Corolla,30002,40002,50004,2023-10-06
11028,BMW X5,30001,40003,50015,2023-10-18
11030,Porsche 911,30001,40005,50010,2023-10-31
11022,Hyundai Tucson,30002,40005,50006,2023-11-07
11035,Mercedes-Benz E-Class,30002,40001,50012,2023-11-16
11002,Honda Civic,30002,40002,50001,2023-12-03
11026,Dodge Charger,30001,40004,50018,2024-04-09
11025,Ford Explorer,30002,40001,50002,2024-04-19
11019,Kia Sorento,30001,40001,50009,2024-04-19
11010,Nissan Altima,30001,40004,50016,2024-04-23
11005,BMW 3 Series,30002,40001,50015,2024-04-23
11038,Toyota Highlander,30001,40005,50004,2024-05-19
11031,Chevrolet Malibu,30001,40002,50011,2024-06-03
11040,Ford Escape,30001,40002,50002,2024-06-03
11032,Honda Pilot,30001,40003,50001,2024-06-03
11029,Tesla Model S,30002,40001,50017,2024-07-17
11034,Lexus RX,30002,40002,50014,2024-07-17
11023,Nissan Rogue,30001,40003,50016,2024-08-05
11011,Volkswagen Golf,30001,40003,50003,2024-08-05
11012,Toyota Camry,30002,40002,50004,2024-10-13
11003,Ford F-150,30001,40002,50002,2024-10-13
11018,Subaru Outback,30002,40005,50005,2024-10-13
11008,Tesla Model 3,30002,40001,50017,2024-10-25
11033,Hyundai Santa Fe,30002,40003,50006,2024-10-25
11013,Hyundai Elantra,30001,40001,50006,2024-10-25
